,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,2.5 mU Insulin,2.5 mU Insulin,2.5 mU Insulin,2.5 mU Insulin,2.5 mU Insulin,2.5 mU Insulin,2.5 mU Insulin,2.5 mU Insulin,2.5 mU Insulin,2.5 mU Insulin,2.5 mU Insulin,2.5 mU Insulin,2.5 mU Insulin,2.5 mU Insulin,2.5 mU Insulin,2.5 mU Insulin + 3HB,2.5 mU Insulin + 3HB,2.5 mU Insulin + 3HB,2.5 mU Insulin + 3HB,2.5 mU Insulin + 3HB,2.5 mU Insulin + 3HB,2.5 mU Insulin + 3HB,2.5 mU Insulin + 3HB,2.5 mU Insulin + 3HB,2.5 mU Insulin + 3HB,2.5 mU Insulin + 3HB,2.5 mU Insulin + 3HB,2.5 mU Insulin + 3HB,2.5 mU Insulin + 3HB,2.5 mU Insulin + 3HB,1.25 mU Insulin,1.25 mU Insulin,1.25 mU Insulin,1.25 mU Insulin,1.25 mU Insulin,1.25 mU Insulin,1.25 mU Insulin,1.25 mU Insulin,1.25 mU Insulin,1.25 mU Insulin,1.25 mU Insulin,1.25 mU Insulin,1.25 mU Insulin,1.25 mU Insulin,1.25 mU Insulin,1.25 mU Insulin + 3HB,1.25 mU Insulin + 3HB,1.25 mU Insulin + 3HB,1.25 mU Insulin + 3HB,1.25 mU Insulin + 3HB,1.25 mU Insulin + 3HB,1.25 mU Insulin + 3HB,1.25 mU Insulin + 3HB,1.25 mU Insulin + 3HB,1.25 mU Insulin + 3HB,1.25 mU Insulin + 3HB,1.25 mU Insulin + 3HB,1.25 mU Insulin + 3HB,1.25 mU Insulin + 3HB,1.25 mU Insulin + 3HB
0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,0,0,0,,,,,,,,,,,,
10,0,0,0,0,0,,,,,,,,,,,10.81,18.02,18.02,0,21.62,,,,,,,,,,,25.22,0,0,,,,,,,,,,,,,21.62,14.41,14.41,0,,,,,,,,,,,,0,0,0,,,,,,,,,,,,
20,0,0,0,0,0,,,,,,,,,,,18.02,25.22,25.22,21.62,28.83,,,,,,,,,,,25.22,0,21.62,,,,,,,,,,,,,21.62,14.41,14.41,14.41,,,,,,,,,,,,0,0,0,,,,,,,,,,,,
30,0,0,0,0,0,,,,,,,,,,,18.02,27.02,28.83,25.22,32.43,,,,,,,,,,,25.22,0,21.62,,,,,,,,,,,,,25.22,14.41,14.41,14.41,,,,,,,,,,,,0,0,0,,,,,,,,,,,,
40,0,0,0,0,0,,,,,,,,,,,25.22,27.02,30.63,28.83,32.43,,,,,,,,,,,28.83,0,21.62,,,,,,,,,,,,,28.83,14.41,14.41,14.41,,,,,,,,,,,,0,0,0,,,,,,,,,,,,
50,0,0,0,0,0,,,,,,,,,,,25.22,28.83,30.63,32.43,32.43,,,,,,,,,,,28.83,14.41,21.62,,,,,,,,,,,,,28.83,18.02,14.41,14.41,,,,,,,,,,,,0,0,0,,,,,,,,,,,,
60,0,0,0,0,0,,,,,,,,,,,27.02,30.63,32.43,36.03,36.03,,,,,,,,,,,32.43,14.41,21.62,,,,,,,,,,,,,30.63,18.02,14.41,14.41,,,,,,,,,,,,0,0,0,,,,,,,,,,,,
70,0,0,0,0,0,,,,,,,,,,,27.02,30.63,36.03,36.03,39.64,,,,,,,,,,,32.43,18.02,21.62,,,,,,,,,,,,,30.63,18.02,14.41,14.41,,,,,,,,,,,,0,0,0,,,,,,,,,,,,
80,0,0,0,0,0,,,,,,,,,,,27.02,32.43,39.64,39.64,43.24,,,,,,,,,,,32.43,25.22,21.62,,,,,,,,,,,,,30.63,18.02,14.41,14.41,,,,,,,,,,,,0,0,0,,,,,,,,,,,,
90,0,0,0,0,0,,,,,,,,,,,27.02,36.03,43.24,43.24,50.44,,,,,,,,,,,32.43,28.83,21.62,,,,,,,,,,,,,30.63,18.02,14.41,16.21,,,,,,,,,,,,0,0,0,,,,,,,,,,,,
100,0,0,0,0,0,,,,,,,,,,,27.02,37.83,43.24,46.84,50.44,,,,,,,,,,,32.43,32.43,21.62,,,,,,,,,,,,,30.63,18.02,14.41,16.21,,,,,,,,,,,,0,0,0,,,,,,,,,,,,
110,0,0,0,0,0,,,,,,,,,,,28.83,37.83,46.84,50.44,54.05,,,,,,,,,,,32.43,32.43,21.62,,,,,,,,,,,,,30.63,18.02,14.41,16.21,,,,,,,,,,,,0,0,0,,,,,,,,,,,,
120,0,0,0,0,0,,,,,,,,,,,28.83,37.83,50.44,50.44,54.05,,,,,,,,,,,32.43,32.43,21.62,,,,,,,,,,,,,30.63,18.02,14.41,16.21,,,,,,,,,,,,0,0,0,,,,,,,,,,,,
