COMPOUND,variable,value,DAY,CAGE,TIME,TRACER,TRACER_UMOL_MIN,COUNTS,MEAN_NON_PERTURBATIVE_DAY1,value_normalized,value_scaled
3-hydroxybutyrate,DAY1_CAGE1_T120,19579271.23,non-perturbative,1,120,glucose,2.0412000000000003,1449,19504869.31833333,1.0038145301284709,0.5019072650642354
3-hydroxybutyrate,DAY1_CAGE2_T120,28563503.9,non-perturbative,2,120,lactate,1.5624000000000005,1449,19504869.31833333,1.4644293911342503,0.7322146955671252
3-hydroxybutyrate,DAY1_CAGE3_T120,16932163.39,non-perturbative,3,120,3-hydroxybutyrate,0.4016,1449,19504869.31833333,0.8680992993931442,0.4340496496965721
3-hydroxybutyrate,DAY1_CAGE4_T120,20832829.25,non-perturbative,4,120,glucose,2.1756,1449,19504869.31833333,1.0680835082764935,0.5340417541382467
3-hydroxybutyrate,DAY1_CAGE5_T120,17553036.169999998,non-perturbative,5,120,lactate,1.8162900000000004,1449,19504869.31833333,0.8999309804911774,0.4499654902455887
3-hydroxybutyrate,DAY1_CAGE6_T120,18966865.31,non-perturbative,6,120,3-hydroxybutyrate,0.432,1449,19504869.31833333,0.9724169385832468,0.4862084692916234
3-hydroxybutyrate,DAY1_CAGE9_T120,16391281.610000001,non-perturbative,9,120,glucose,2.3184000000000005,1449,19504869.31833333,0.8403686967845123,0.42018434839225616
3-hydroxybutyrate,DAY1_CAGE10_T120,19366503.56,non-perturbative,10,120,lactate,1.6600500000000005,1449,19504869.31833333,0.9929060914956617,0.49645304574783083
3-hydroxybutyrate,DAY1_CAGE11_T120,26628905.24,non-perturbative,11,120,3-hydroxybutyrate,0.3872,1449,19504869.31833333,1.3652439708975916,0.6826219854487958
3-hydroxybutyrate,DAY1_CAGE12_T120,26646513.14,non-perturbative,12,120,glucose,1.89,1449,19504869.31833333,1.3661467147054391,0.6830733573527196
3-hydroxybutyrate,DAY2_CAGE3_T120,226428632.84,perturbative,3,120,3-hydroxybutyrate,12.048,599,19504869.31833333,11.608825936976238,5.804412968488119
3-hydroxybutyrate,DAY1_CAGE13_T120,13735716.75,non-perturbative,13,120,lactate,1.6340100000000006,1449,19504869.31833333,0.7042198809857856,0.3521099404928928
3-hydroxybutyrate,DAY1_CAGE14_T120,8861842.270000001,non-perturbative,14,120,3-hydroxybutyrate,0.4048,1449,19504869.31833333,0.4543399971242276,0.2271699985621138
3-hydroxybutyrate,DAY2_CAGE1_T120,838580.2899999999,perturbative,1,120,glucose,29.3058,599,19504869.31833333,0.04299338161736813,0.021496690808684066
3-hydroxybutyrate,DAY2_CAGE2_T120,4055502.8000000003,perturbative,2,120,lactate,9.396,599,19504869.31833333,0.207922582500365,0.1039612912501825
3-hydroxybutyrate,DAY2_CAGE4_T120,1273645.94,perturbative,4,120,glucose,31.2354,599,19504869.31833333,0.06529887071854688,0.03264943535927344
3-hydroxybutyrate,DAY2_CAGE10_T120,8277570.1,perturbative,10,120,lactate,9.98325,599,19504869.31833333,0.42438480181046956,0.21219240090523478
3-hydroxybutyrate,DAY2_CAGE5_T120,3808864.0900000003,perturbative,5,120,lactate,10.92285,599,19504869.31833333,0.19527760108702247,0.09763880054351123
3-hydroxybutyrate,DAY2_CAGE6_T120,214232658.72,perturbative,6,120,3-hydroxybutyrate,12.96,599,19504869.31833333,10.983547504142209,5.491773752071104
3-hydroxybutyrate,DAY2_CAGE9_T120,2077870.6300000001,perturbative,9,120,glucose,33.2856,599,19504869.31833333,0.10653086652813072,0.05326543326406536
3-hydroxybutyrate,DAY2_CAGE11_T120,280557332.34000003,perturbative,11,120,3-hydroxybutyrate,11.616,599,19504869.31833333,14.383963704709062,7.191981852354531
3-hydroxybutyrate,DAY2_CAGE12_T120,1500839.2699999998,perturbative,12,120,glucose,27.135,599,19504869.31833333,0.07694690210455842,0.03847345105227921
3-hydroxybutyrate,DAY2_CAGE13_T120,8059354.0,perturbative,13,120,lactate,9.82665,599,19504869.31833333,0.4131970262638326,0.2065985131319163
c16:0,DAY1_CAGE1_T120,2169353652.03,non-perturbative,1,120,glucose,2.0412000000000003,1449,2200062628.1675,0.9860417718367053,0.9860417718367053
c16:0,DAY1_CAGE2_T120,2779767484.34,non-perturbative,2,120,lactate,1.5624000000000005,1449,2200062628.1675,1.263494706355407,1.263494706355407
c16:0,DAY1_CAGE3_T120,2243587550.4,non-perturbative,3,120,3-hydroxybutyrate,0.4016,1449,2200062628.1675,1.019783492376648,1.019783492376648
c16:0,DAY1_CAGE4_T120,2310739147.65,non-perturbative,4,120,glucose,2.1756,1449,2200062628.1675,1.0503060767750443,1.0503060767750443
c16:0,DAY1_CAGE5_T120,2268019298.53,non-perturbative,5,120,lactate,1.8162900000000004,1449,2200062628.1675,1.0308885163051487,1.0308885163051487
c16:0,DAY1_CAGE6_T120,2167407702.34,non-perturbative,6,120,3-hydroxybutyrate,0.432,1449,2200062628.1675,0.9851572744296379,0.9851572744296379
c16:0,DAY1_CAGE9_T120,1592298076.6399999,non-perturbative,9,120,glucose,2.3184000000000005,1449,2200062628.1675,0.723751249738865,0.723751249738865
c16:0,DAY1_CAGE10_T120,2637251492.7200003,non-perturbative,10,120,lactate,1.6600500000000005,1449,2200062628.1675,1.1987165542267533,1.1987165542267533
c16:0,DAY1_CAGE11_T120,1933048992.82,non-perturbative,11,120,3-hydroxybutyrate,0.3872,1449,2200062628.1675,0.8786336207301954,0.8786336207301954
c16:0,DAY1_CAGE12_T120,2188141739.8900003,non-perturbative,12,120,glucose,1.89,1449,2200062628.1675,0.9945815686676933,0.9945815686676933
c16:0,DAY2_CAGE3_T120,2644986994.8500004,perturbative,3,120,3-hydroxybutyrate,12.048,599,2200062628.1675,1.2022325914663128,1.2022325914663128
c16:0,DAY1_CAGE13_T120,1918496644.28,non-perturbative,13,120,lactate,1.6340100000000006,1449,2200062628.1675,0.8720191051460998,0.8720191051460998
c16:0,DAY1_CAGE14_T120,2192639756.3700004,non-perturbative,14,120,3-hydroxybutyrate,0.4048,1449,2200062628.1675,0.9966260634118028,0.9966260634118028
c16:0,DAY2_CAGE1_T120,951558083.22,perturbative,1,120,glucose,29.3058,599,2200062628.1675,0.43251408893417825,0.43251408893417825
c16:0,DAY2_CAGE2_T120,1761309113.1299999,perturbative,2,120,lactate,9.396,599,2200062628.1675,0.8005722612528756,0.8005722612528756
c16:0,DAY2_CAGE4_T120,1001986998.09,perturbative,4,120,glucose,31.2354,599,2200062628.1675,0.4554356704493389,0.4554356704493389
